request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_56,632.95,affordable_with_plan,partial_payment,2025-02-03:632.95|2025-02-15:248.61,2025-02-15,none,"Pay USD 632.95 today and the remaining USD 248.61 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12819.59,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,14943838.93,affordable_with_plan,full_payment,2024-12-07:16226000,2025-02-15,stop:event_5357|reduce_to:event_5358:350550,"Stop the food delivery membership and reduce the community fitness plan to idr 350,550, then pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available."
request_59,132758.53,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,stop:event_5473,"Stop the fitness club membership, then use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,117.62,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,37534.99,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 37,534.99 is available today, the full amount cannot be completed safely within 90 days."
request_64,42648.36,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-08-15,reduce_to:event_5951:950,"Reduce the weekend entertainment to inr 950, then use 3 installments of INR 22,082.67, starting 11 June 2024. This leaves at least INR 36,100 available."
request_65,5886.72,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,886.72 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,300.77,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1444.92,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,50476.8,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,244128.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,13211.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 June 2026. None of the available options keeps the ZAR 39,000 minimum protected."
request_76,324.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,60102.73,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Stop the online backup subscription, then pay INR 60,700 today. This leaves at least INR 82,200 available."
request_78,43817.89,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 October 2025. None of the available options keeps the INR 55,200 minimum protected."
request_79,313.14,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 313.14 is available today, the full amount cannot be completed safely within 90 days."
request_80,15959.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,313.89,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,21423.27,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,392399.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10735.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9392480.17,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8335|reduce_to:event_8337:266760,"Stop the video streaming plan and reduce the monthly shopping spend to idr 266,760, then use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,726.27,affordable_with_plan,full_payment,2026-07-06:2560,,stop:event_8437|reduce_to:event_8438:193.60|reduce_to:event_8439:234.96,"Stop the cloud storage plan, reduce the streaming subscription to zar 193.60 and reduce the personal shopping to zar 234.96, then pay ZAR 2,560 today. This leaves at least ZAR 7,600 available."
request_91,316.2,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,178.92,not_affordable,not_recommended,none,,none,Do not make this payment by 22 December 2024. None of the available options keeps the EUR 600 minimum protected.
request_95,35116.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,72758.97,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,stop:event_8914,"Stop the food delivery membership, then use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1599.79,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,6553.27,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17445.43,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,"Stop the family streaming plan, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25169.04,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,reduce_to:event_9267:508.20,"Reduce the streaming subscription to zar 508.20, then use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1364.87,not_affordable,not_recommended,none,,none,Do not make this payment by 12 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_103,2146.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,7188.27,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,51360.03,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"Reduce the household shopping to inr 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,463.22,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,1717.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,472.91,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10080|stop:event_10081,"Stop the shared storage plan and stop the video streaming plan, then use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,17912.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 October 2025. None of the available options keeps the ZAR 11,200 minimum protected."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,19478.27,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 15 October 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,54888.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,14648.43,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,9179.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,859.11,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the family streaming plan, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,649.88,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,stop:event_10912,"Stop the streaming subscription, then use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,stop:event_11268,"Stop the video streaming plan, then use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected."
request_124,1392.45,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,"Stop the music service subscription, then use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,5834.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,12560.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2026. None of the available options keeps the INR 129,700 minimum protected."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,111.57,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,373.31,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1354.04,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,261.98,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4461408.13,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,283.19,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the video streaming plan, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,528.5,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to usd 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,25682.48,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,752.76,affordable_with_plan,partial_payment,2026-04-07:752.76|2026-04-15:504.18,2026-04-15,none,"Pay EUR 752.76 today and the remaining EUR 504.18 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1247.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 November 2024. None of the available options keeps the USD 1,500 minimum protected."
request_140,1428.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,18191.39,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 18,191.39 is available today, the full amount cannot be completed safely within 90 days."
request_142,625.75,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 February 2025. None of the available options keeps the USD 1,700 minimum protected."
request_143,2501.34,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,27650.1,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335,"Reduce the takeaway order to inr 3,335, then use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,16037.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_148,7127.02,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,reduce_to:event_13594:576.40,"Reduce the games and recreation to zar 576.40, then use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,22401.22,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,255.75,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13785|reduce_to:event_13786:12.50|reduce_to:event_13787:16,"Stop the online backup subscription, reduce the family streaming plan to eur 12.50 and reduce the online retail purchases to eur 16, then use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11084.9,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13957|reduce_to:event_14024:234.30,"Stop the music subscription and reduce the coffee shop to zar 234.30, then use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,15.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,reduce_to:event_14186:27.20,"Reduce the personal shopping to eur 27.20, then use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,13179.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 May 2025. None of the available options keeps the INR 56,300 minimum protected."
request_156,8497.56,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4775248.01,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,199967.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 October 2025. None of the available options keeps the INR 131,400 minimum protected."
request_159,376.62,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398 request. Although ZAR 376.62 is available today, the full amount cannot be completed safely within 90 days."
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1255094.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,8809583.38,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Reduce the neighbourhood restaurant to idr 664,050, then use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,68752.32,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15134|reduce_to:event_15136:1048|reduce_to:event_15173:1875,"Stop the cloud storage plan, reduce the online retail purchases to inr 1,048 and reduce the quick-service meal to inr 1,875, then pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,30444.55,affordable_with_plan,partial_payment,2026-01-07:30444.55|2026-02-15:18935.45,2026-02-15,none,"Pay INR 30,444.55 today and the remaining INR 18,935.45 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,29866830.93,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,33.02,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,9077.61,affordable_with_plan,partial_payment,2024-06-05:9077.61|2024-06-15:1122.39,2024-06-15,none,"Pay ZAR 9,077.61 today and the remaining ZAR 1,122.39 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,55371.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,26.41,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2694.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2025. None of the available options keeps the EUR 1,400 minimum protected."
request_179,6584779.78,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,283.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
